comment_id,video_id,video_title,video_channel,author,author_channel_id,comment_text,comment_length,word_count,is_reply,parent_id,like_count,reply_count,published_date,published_time,day_of_week,hour_of_day,has_emoji,has_url,is_all_caps,exclamation_count,question_count,engagement_rate,sentiment,sentiment_score,emotion,toxicity_score,spam_score
UgyCxbAr0rR7B5qQVv54AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@squatchit5700,UCx61W0iXSwtW0uPGzJq73rA,This would’ve been a great half time show!!,43,8,False,,2,0,2026-02-10,02:45:01,Tuesday,2,True,False,False,2,0,7.218392463998267e-05,,,,,
Ugx1vp3oh_Uc1cqciAZ4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@brianesquivel5458,UC4XNc5_otU540-tMSPfyzNQ,5 minutos? Es muy poquito 😢,27,6,False,,0,0,2026-02-10,00:37:49,Tuesday,0,True,False,False,0,1,0.0,,,,,
UgzWtFzgui3bnoxI18t4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@altemose_prime,UC_PZ8dhjjDBRy5vwON3IvKw,I watched the super bowl. I didn't even see them play.,54,11,False,,0,0,2026-02-09,21:01:40,Monday,21,False,False,False,0,0,0.0,,,,,
Ugz6r_huy-6S4cSzHpF4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@TheresaFair-w5x,UCXrnYEqeKaSu9PRaFaG69Bw,I love the outside game!,24,5,False,,0,0,2026-02-09,21:57:46,Monday,21,False,False,False,1,0,0.0,,,,,
UgxpRmLlB0wKQ-uEAep4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@ndbaker74,UCmHf7zoVVySPOqiT0gtiAkQ,First time I got to see a Green Day show was during their American Idiot tour... 2004-ish... then got to see them again last fall (2025) at Riotfest in Chicago. These guys give a clinic on how to perform live! They are so good at what they do!,243,48,False,,0,0,2026-02-11,01:54:23,Wednesday,1,False,False,False,2,0,0.0,,,,,
UgwPkocq35o63OVYWqB4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@s.rosesmith6525,UCG2wsv-MlazxW4VoYrrffhQ,Perfect Song,12,2,False,,1,0,2026-02-09,23:31:08,Monday,23,False,False,False,0,0,3.6091962319991336e-05,,,,,
UgxaFJBtkpMalPWcSyx4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@Kittywitch420,UCLGAMM_ngwMjP9czHjtoJEw,Omg yes. I feel a throw back to my high school days! Absolutely amazing!!!!!,76,14,False,,1,0,2026-02-11,02:01:42,Wednesday,2,False,False,False,6,0,3.6091962319991336e-05,,,,,
Ugy_gH6E1p0HI6NIIv54AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@brethenning9486,UC7JGOBGbFzvsDuQYQ9_iRjQ,I am so happy I pasted on watching the super bowl,49,11,False,,0,0,2026-02-09,23:30:22,Monday,23,False,False,False,0,0,0.0,,,,,
UgxK9GtgD1BGK2lo1zB4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@calebmigues,UCaPHxZWkJY54KtNQBRIjmWA,For just 5 minutes i was back in my room at my parents getting ready for school. Green Day and MCR were the soundtrack of the times. 🔥,134,28,False,,1,0,2026-02-09,21:59:25,Monday,21,True,False,False,0,0,3.6091962319991336e-05,,,,,
Ugxqfv-O_M0XQnITyL14AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@toddbishop4701,UCJXCoi1KYlYNJs7bz0XkRcQ,3:22 Tre Cool 😮 😂😂,18,5,False,,1,0,2026-02-09,22:51:01,Monday,22,True,False,False,0,0,3.6091962319991336e-05,,,,,
